"","1706784_MW112_HPC5_1_S86_L003","1706785_MW112_HPC5_2_S87_L003","1706786_MW112_HPC5_3_S88_L003","SRR908270_RNAseq_HPC7","SRR908271_RNAseq_HPC7","treatment_mean","control_mean","logFC"
"ENSMUSG00000000001",68.8222887622035,68.506545105918,64.4383394923675,46.2727936920454,35.8919484221946,41.08237105712,67.2557244534963,-0.697734053649447
"ENSMUSG00000000003",0,0,0,0,0,0,0,0
"ENSMUSG00000000028",45.4534765948019,49.8621342603185,46.8385755212633,39.7733836691477,32.1258250476188,35.9496043583832,47.3847287921279,-0.388992858692955
"ENSMUSG00000000037",0,0,0,0,0,0,0,0
"ENSMUSG00000000049",0,0,0,0,0,0,0,0
"ENSMUSG00000000056",20.600961357959,21.432443017904,19.1501700444009,28.9253154966244,30.5241578156652,29.7247366561448,20.3945248067546,0.52215900955691
"ENSMUSG00000000058",11.8815701377938,11.7667283341579,10.2691457115049,0.103763231144482,0.201160000618632,0.152461615881557,11.3058147278189,-3.41654957121073
"ENSMUSG00000000078",17.8555436766513,17.5753822334979,15.4347178685428,9.59310318128293,10.2806647007101,9.93688394099652,16.9552145928974,-0.715201141278907
"ENSMUSG00000000085",15.8148928253236,16.2652541620731,16.0816114119901,26.2579071362604,27.6526975173457,26.955302326803,16.0539194664623,0.713018598367017
"ENSMUSG00000000088",157.932238987935,170.913068845851,170.231732409417,183.283940704054,150.233457371603,166.758699037829,166.359013414401,0.00344132654776353
"ENSMUSG00000000093",0.0229453580154246,0.0282036526800418,0.0185288726980395,0.0472923312917791,0.181613691538532,0.114453011415155,0.0232259611311686,0.123211016022682
"ENSMUSG00000000094",0.00819230267871853,0.013209134037096,0,0.0146723529636594,0.0141250446959326,0.014398698829796,0.00713381223860483,0.0103694211412938
"ENSMUSG00000000103",0,0,0,0,0,0,0,0
"ENSMUSG00000000120",0.0384305712541456,0.0338109011201672,0.0394226251381788,0.0251063870161144,0.110185727537699,0.0676460572769067,0.0372213658374972,0.0417096186384189
"ENSMUSG00000000125",0,0.00421817302020781,0,0,0,0,0.0014060576734026,-0.00202708766526627
"ENSMUSG00000000126",0,0,0,0.0129852732950907,0,0.00649263664754533,0,0.00933661775261675
"ENSMUSG00000000127",1.46684102370227,1.4582495063709,1.55219340871161,3.17534115271648,3.27474177686611,3.22504146479129,1.49242797959492,0.761413682584112
"ENSMUSG00000000131",38.4353909781451,37.9943567824287,41.2396305717319,103.347711774951,102.903434955364,103.125573365157,39.2231261107686,1.37222732350633
"ENSMUSG00000000134",23.3040986562228,24.6529197734444,23.5674175117199,24.1215520015572,32.9881001080275,28.5548260547923,23.841478647129,0.250642679514612
"ENSMUSG00000000142",0,0,0,0.389791386124275,0.63939533899051,0.514593362557392,0,0.598930511475692
"ENSMUSG00000000148",7.83043531021449,7.49476527728472,8.00324562305595,9.56916022587773,10.1548136147851,9.86198692033143,7.77614873685172,0.307628149487086
"ENSMUSG00000000149",19.1170077580907,18.0851649722446,20.4145072175424,21.5089921609437,20.6497156419611,21.0793539014524,19.2055599826259,0.12794562043972
"ENSMUSG00000000154",5.66878934520011,5.35411804843636,8.50204500266792,1.84624238395825,2.79282560271346,2.31953399333586,6.5083174654348,-1.17750892554974
"ENSMUSG00000000157",1.29918261934491,1.25782853191223,1.31935796439529,0,0,0,1.29212303855081,-1.19668448839797
"ENSMUSG00000000159",0.0278808035844189,0.00924512841636715,0.0160189637308722,0.430165417690232,0.172397162238712,0.301281289964472,0.0177149652438861,0.354599296599562
"ENSMUSG00000000167",1.48890864234768,1.61796076417781,1.36365715871249,1.46779605133912,1.80327412019371,1.63553508576641,1.49017552174599,0.0818484629492463
