"target_id","pval","qval","ext_gene","num_aggregated_transcripts"
"ENSMUSG00000074075",0.0358824686601021,0.0389454864605192,"Gm10621",1
"ENSMUSG00000031824",0.0358849024383083,0.0389454864605192,"6430548M08Rik",2
"ENSMUSG00000031728",0.0359166138198537,0.0389771391148675,"Zfp821",2
"ENSMUSG00000085826",0.0359540460923412,0.0390149952209229,"Gm15638",1
"ENSMUSG00000057506",0.0359833283282222,0.0390440026969397,"Bloc1s2",1
"ENSMUSG00000033520",0.0359981992084113,0.0390573700107988,"Idi2",1
"ENSMUSG00000026341",0.0360305556590604,0.039089705600914,"Actr3",1
"ENSMUSG00000081622",0.0360684775459934,0.0391280741459901,"Gm5937",1
"ENSMUSG00000085143",0.0360964978050034,0.0391556964568447,"Gm11520",1
"ENSMUSG00000066952",0.0361163782082568,0.0391744857657476,"Myo1h",1
"ENSMUSG00000016458",0.0361568511011923,0.0392156069616729,"Wt1",1
"ENSMUSG00000032420",0.036174269802983,0.0392317195992961,"Nt5e",1
"ENSMUSG00000067835",0.0362055532575914,0.0392628654907345,"Gm14661",1
"ENSMUSG00000083037",0.0362120331909941,0.0392671108654628,"Gm14900",1
"ENSMUSG00000001657",0.036257357198663,0.0393134738629504,"Hoxc8",1
"ENSMUSG00000056824",0.0362910481121229,0.0393472175437622,"Zfp663",1
"ENSMUSG00000085663",0.0363139663220701,0.0393692773695644,"Gm15718",1
"ENSMUSG00000036606",0.036356766635478,0.0394128874481904,"Plxnb2",4
"ENSMUSG00000085101",0.0363655163824303,0.0394195811345591,"Gm13227",1
"ENSMUSG00000073145",0.0363876899755861,0.0394408240562396,"Gm12000",1
"ENSMUSG00000001027",0.0364043621653595,0.0394561013896434,"Scn4a",1
"ENSMUSG00000084943",0.0364221237709045,0.0394725572166376,"Gm13014",1
"ENSMUSG00000062580",0.0364845942354311,0.0395374606085218,"Timm17a",3
"ENSMUSG00000090160",0.0365009090615786,0.0395523406182944,"4930480K15Rik",1
"ENSMUSG00000032418",0.0365210220162356,0.0395713338777275,"Me1",1
"ENSMUSG00000071052",0.0365266327374097,0.0395746120705123,"Rpl7a-ps5",1
"ENSMUSG00000038641",0.0366074661854237,0.0396593837485113,"Akr1d1",1
"ENSMUSG00000082454",0.0366683950961935,0.0397225810015236,"Gm12183",1
"ENSMUSG00000029477",0.0366737191897617,0.0397255373165067,"Morn3",1
"ENSMUSG00000043999",0.0367085520001391,0.0397604552478687,"Gpr75",1
"ENSMUSG00000034912",0.0367193118254938,0.0397692957000608,"Mdga2",1
"ENSMUSG00000057135",0.03673824245544,0.0397862187040043,"A430084P05Rik",1
"ENSMUSG00000082986",0.0367401350666191,0.0397862187040043,"Gm11389",1
"ENSMUSG00000053358",0.0367428933874624,0.0397863911703526,"Gm9905",1
"ENSMUSG00000035200",0.0367706311366343,0.0398136102305558,"Chrnb4",1
"ENSMUSG00000045912",0.0367841278210205,0.0398254069371371,"C2cd4c",1
"ENSMUSG00000093536",0.0368258605383052,0.0398677703762642,"AC188461.4",1
"ENSMUSG00000091507",0.036832723346517,0.0398713774594318,"Gm17194",1
"ENSMUSG00000060962",0.0368344016221116,0.0398713774594318,"Dmkn",1
"ENSMUSG00000010307",0.0368849776186713,0.039923300387939,"Tmem86a",1
"ENSMUSG00000082361",0.0368893797207904,0.0399252421355952,"Btc",1
"ENSMUSG00000030117",0.0369374946703941,0.0399744905206358,"Gdf3",1
"ENSMUSG00000056569",0.0369504223338281,0.0399856542546473,"Mpz",1
"ENSMUSG00000026109",0.0369608571033063,0.039994118932453,"Tmeff2",1
"ENSMUSG00000078635",0.0369911835789136,0.0400241050484881,"1700028N14Rik",1
"ENSMUSG00000025812",0.0370232441889603,0.0400559631100858,"Pard3",1
"ENSMUSG00000084878",0.0370567307009729,0.0400893592629324,"Gm15817",1
"ENSMUSG00000091449",0.0370718897342961,0.0401029247440184,"Gm10269",1
"ENSMUSG00000086528",0.0370813115230316,0.0401102824190622,"Gm15731",1
"ENSMUSG00000054792",0.0370918236337239,0.0401188183554756,"Klhl18",5
"ENSMUSG00000078963",0.0371029279916025,0.0401279936198567,"Hsbp1l1",1
"ENSMUSG00000073418",0.0371789595089192,0.0402073834095751,"C4b",1
"ENSMUSG00000031520",0.0371866105395382,0.0402128167659826,"Vegfc",1
"ENSMUSG00000078308",0.0371896085971952,0.0402132180833414,"Gm7293",1
"ENSMUSG00000073941",0.0371991193230863,0.0402206610112872,"Olfr628",1
"ENSMUSG00000086828",0.0372101373312518,0.0402297324858255,"Gm15579",1
"ENSMUSG00000022658",0.0372309209580124,0.040249360030032,"Tagln3",1
"ENSMUSG00000038292",0.037251289061277,0.0402685356224862,"Ccdc155",1
"ENSMUSG00000031214",0.0372567571507334,0.0402716027724493,"Ophn1",1
"ENSMUSG00000051043",0.0372864723136399,0.0403008768041516,"Gprc5c",1
"ENSMUSG00000074502",0.0373550978803417,0.0403721998271866,"Ubtfl1",1
"ENSMUSG00000022208",0.0373831599245681,0.0403996761119158,"Jph4",1
"ENSMUSG00000043639",0.0374177920937181,0.0404342482966706,"Rbm20",1
"ENSMUSG00000058470",0.0374329811797758,0.040447806585728,"Gm8369",1
"ENSMUSG00000033491",0.0375132753333313,0.0405317065783904,"Prss35",1
"ENSMUSG00000068407",0.0375178598150231,0.0405337990012262,"Rnase12",1
"ENSMUSG00000021414",0.0375570403090987,0.0405732655646918,"1700026J04Rik",1
"ENSMUSG00000046916",0.0375833536214104,0.0405988269872663,"Myct1",1
"ENSMUSG00000038763",0.0376408680530959,0.0406580869430421,"Alpk3",1
"ENSMUSG00000032076",0.0376913015265708,0.0407096905220311,"Cadm1",1
"ENSMUSG00000026321",0.0376991657531514,0.0407127720445787,"Tnfrsf11a",1
"ENSMUSG00000005883",0.0376994737217078,0.0407127720445787,"Spo11",1
"ENSMUSG00000030587",0.0377110112070722,0.0407223588852894,"2200002D01Rik",2
"ENSMUSG00000029135",0.0377228547651391,0.0407322748638463,"Fosl2",1
"ENSMUSG00000055026",0.0377586708654615,0.0407680726201499,"Gabrg3",1
"ENSMUSG00000032517",0.0377672234791022,0.0407744309907678,"Mobp",2
"ENSMUSG00000021569",0.0377710764946061,0.040775715019706,"Trip13",1
"ENSMUSG00000073407",0.0377851872014596,0.0407880717636234,"Gm6034",1
"ENSMUSG00000039395",0.0378288855355502,0.0408323635438022,"Mreg",1
"ENSMUSG00000051490",0.0378582462065815,0.0408611741472432,"Foxd4",1
"ENSMUSG00000037905",0.0378646209825372,0.0408651732939001,"Bri3bp",1
"ENSMUSG00000027489",0.0379314700773426,0.0409344338346113,"Necab3",4
"ENSMUSG00000049285",0.0380488896111344,0.0410582547700018,"Mblac1",1
"ENSMUSG00000052353",0.0381381918768428,0.0411517192676894,"9930013L23Rik",1
"ENSMUSG00000056023",0.0381511026262686,0.0411608350025489,"Gm9989",1
"ENSMUSG00000015305",0.0381520177587645,0.0411608350025489,"Sash1",1
"ENSMUSG00000070891",0.0381595642214795,0.0411660753419597,"Gm12689",1
"ENSMUSG00000030079",0.0381745213632549,0.0411793089302168,"Ruvbl1",1
"ENSMUSG00000031659",0.0382153227947309,0.0412204172309569,"Adcy7",3
"ENSMUSG00000087004",0.0382888507424996,0.0412968172455565,"Gm14154",1
"ENSMUSG00000091971",0.0383114319792907,0.0413182612892054,"Hspa1a",1
"ENSMUSG00000023011",0.038354727341475,0.0413620405877633,"Faim2",1
"ENSMUSG00000060843",0.0383923554509512,0.0413997025389659,"Ctnna3",1
"ENSMUSG00000048520",0.0384057687598065,0.0414112494312261,"Fbxl13",1
"ENSMUSG00000093775",0.0384518979600633,0.041457708339663,"Vmn2r-ps114",1
"ENSMUSG00000024501",0.0384564768301074,0.041457708339663,"Dpysl3",1
"ENSMUSG00000034883",0.0384569805607013,0.041457708339663,"Lrr1",2
"ENSMUSG00000034224",0.0385013469496909,0.0415026138374669,"Slc38a8",1
"ENSMUSG00000085437",0.0385445430864354,0.0415452019682134,"1700047A11Rik",1
"ENSMUSG00000035919",0.0385462832214878,0.0415452019682134,"Bbs9",6
"ENSMUSG00000028111",0.0385597157718883,0.0415567536634797,"Ctsk",1
"ENSMUSG00000076434",0.0385847579675276,0.0415778878619536,"Wfdc3",1
"ENSMUSG00000039951",0.0385847579675276,0.0415778878619536,"Wfdc3",1
"ENSMUSG00000043661",0.0385919028462618,0.041582659869823,"Gm9785",1
"ENSMUSG00000090939",0.0386267423598732,0.0416172699919016,"Gm17147",1
"ENSMUSG00000081657",0.0386576886703812,0.0416476809181643,"Gm15466",1
"ENSMUSG00000048251",0.0386881243652674,0.0416775374935618,"Bcl11b",1
"ENSMUSG00000079889",0.0387070716654852,0.0416950146404368,"Gm11951",1
"ENSMUSG00000062691",0.0387283884974018,0.0417150415928952,"1110001A16Rik",1
"ENSMUSG00000083547",0.038735224910855,0.0417194697062807,"Gm13321",1
"ENSMUSG00000085712",0.038739379763509,0.0417210092457996,"Gm15124",1
"ENSMUSG00000009588",0.0388230190501235,0.0418081446091657,"St6galnac1",1
"ENSMUSG00000026866",0.0388307691836039,0.0418135491462161,"Kynu",1
"ENSMUSG00000074366",0.0388432984216218,0.0418240987717652,"Obox5",1
"ENSMUSG00000089994",0.0388563450308807,0.0418352039480041,"Gm16239",1
"ENSMUSG00000080949",0.0389385379600782,0.0419207496373076,"Gm13683",1
"ENSMUSG00000059395",0.0390633489028416,0.0420521620959704,"Nkapl",1
"ENSMUSG00000093560",0.0390829909533666,0.0420688311842786,"Gm6695",1
"ENSMUSG00000031883",0.039084329572956,0.0420688311842786,"Car7",1
"ENSMUSG00000086662",0.0390980482654987,0.0420806386028443,"BC046251",2
"ENSMUSG00000052373",0.0391012414354652,0.0420811166967169,"Mpp3",4
"ENSMUSG00000081620",0.0391916496777795,0.0421754497903303,"Gm14633",1
"ENSMUSG00000030472",0.0392070311861128,0.0421890365104045,"Ceacam18",1
"ENSMUSG00000084128",0.0392295118307969,0.0422098020681832,"Esrp2",2
"ENSMUSG00000092354",0.039231843730475,0.0422098020681832,"Gm20548",1
"ENSMUSG00000070695",0.039275889969297,0.0422542219165084,"Cntnap5a",1
"ENSMUSG00000039372",0.0393256818031309,0.0423048163768326,"March4",1
"ENSMUSG00000087701",0.0393500065901169,0.0423280093374682,"Gm13493",1
"ENSMUSG00000036437",0.0393745333618344,0.0423514162944745,"Npy1r",1
"ENSMUSG00000028238",0.0393825571551233,0.0423570705354196,"Atp6v0d2",1
"ENSMUSG00000028876",0.0394111660595806,0.0423830527443412,"Epha10",1
"ENSMUSG00000005580",0.0394122521436959,0.0423830527443412,"Adcy9",3
"ENSMUSG00000055137",0.0394292721656428,0.042396170014215,"5033411D12Rik",1
"ENSMUSG00000043953",0.039429989057511,0.042396170014215,"Ccrl2",1
"ENSMUSG00000003379",0.039437407117366,0.0424011678713751,"Cd79a",1
"ENSMUSG00000019775",0.0394606709748943,0.0424232004553467,"Rgs17",1
"ENSMUSG00000091238",0.0394779387590627,0.0424387841659924,"Gm17103",1
"ENSMUSG00000074206",0.0395146257298216,0.0424752398477711,"Adh6b",1
"ENSMUSG00000048916",0.0395285092963333,0.0424871801929694,"Gm5540",1
"ENSMUSG00000057497",0.039542539134464,0.0424978950951516,"Fam136a",1
"ENSMUSG00000044633",0.0395440304243102,0.0424978950951516,"B530045E10Rik",1
"ENSMUSG00000045996",0.0395601360830274,0.0425122192459798,"Polr2k",1
"ENSMUSG00000028341",0.0396283827911497,0.0425825694066348,"Nr4a3",1
"ENSMUSG00000081049",0.0396448200497672,0.0425972418980724,"Rps24-ps3",1
"ENSMUSG00000084800",0.0396657026311637,0.0426166883687432,"Gm12205",1
"ENSMUSG00000031344",0.0396760319592341,0.0426247945281743,"Gabrq",1
"ENSMUSG00000046610",0.0397141485789869,0.0426627499261145,"5330437I02Rik",1
"ENSMUSG00000082050",0.0397321157093377,0.0426790560156159,"Gm13989",1
"ENSMUSG00000037813",0.039751939599104,0.0426973541526161,"D630003M21Rik",1
"ENSMUSG00000075225",0.0397665529975122,0.0427100535526498,"Ccdc162",1
"ENSMUSG00000006457",0.0398089196685871,0.0427525566358027,"Actn3",1
"ENSMUSG00000053740",0.0398217141562058,0.0427632971100104,"Gm6457",1
"ENSMUSG00000046750",0.0398677776785245,0.0428097601503124,"BC089491",1
"ENSMUSG00000035228",0.0398977681046222,0.0428389586971703,"Ccdc106",2
"ENSMUSG00000087397",0.0399627721943388,0.0429057453184835,"Gm16256",1
"ENSMUSG00000019647",0.0399926420968152,0.0429348036480853,"Sema6a",1
"ENSMUSG00000049491",0.0399960622953923,0.0429354643490789,"Slc36a3",1
"ENSMUSG00000057123",0.0400892865378614,0.043032522145823,"Gja5",1
"ENSMUSG00000028417",0.0401069387843233,0.0430484517536405,"Tal2",1
"ENSMUSG00000033981",0.0401196850277526,0.0430588023138219,"Gria2",2
"ENSMUSG00000085454",0.0401222077478675,0.0430588023138219,"Gm16320",1
"ENSMUSG00000064254",0.0401957955166605,0.0431347520342824,"Ethe1",1
"ENSMUSG00000061983",0.0402413241838583,0.0431805825463692,"Rps12",1
"ENSMUSG00000059305",0.0402738437615953,0.0432124483284854,"Vpreb1",1
