"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Echdc2"	5.09810137674896e-56	-1.10361453288673	0.013	0.471	1.58311342052186e-51	8.46284828540328e-54
"Gm42418"	6.4399419472502e-28	0.465902787436884	1	1	1.9997951728796e-23	5.34515181621766e-26
"Trim12a"	1.96718334868013e-25	0.660440101159346	0.328	0.016	6.10869445265642e-21	1.08850811960301e-23
"Rpl41"	1.73929403154943e-22	-0.322810706267359	1	1	5.40102975617046e-18	7.21807023093015e-21
"Rps29"	9.23103643083634e-19	-0.209428314352075	1	1	2.86651374286761e-14	3.06470409503767e-17
"Rpl39"	1.95444995697949e-18	-0.249689981091908	1	1	6.06915345140842e-14	5.40731154764326e-17
"Rpl28"	5.58107955908231e-18	-0.227792483553973	1	1	1.73309263548183e-13	1.32351315258238e-16
"Rplp1"	8.13360678703794e-16	-0.22324874685959	1	1	2.52572891557889e-11	1.68772340831037e-14
"Rpl36"	1.446984636507e-15	-0.256350008707146	1	1	4.4933213917452e-11	2.66888277400181e-14
"Rps25"	7.24587772943582e-15	-0.258760083004472	1	0.997	2.25006241132171e-10	1.20281570308635e-13
"Rpl35a"	9.13471300970005e-15	-0.251582743651467	1	1	2.83660243090216e-10	1.37851123600928e-13
"Gm47283"	7.70475169457246e-14	-0.488383903493902	0.081	0.273	2.39255654371559e-09	1.06582398441586e-12
"Rps15a"	2.73280704445876e-13	-0.213026594895034	1	1	8.48618571515778e-09	3.48958437984734e-12
"Rps17"	3.14527672622843e-13	-0.245480196929144	0.998	0.997	9.76702781795713e-09	3.55741393361661e-12
"Rps26"	3.21453066290657e-13	-0.2489503914645	1	1	9.98208206752379e-09	3.55741393361661e-12
"Rpl34"	8.28228445862414e-13	-0.227508060709591	1	1	2.57189779293655e-08	8.59287012582255e-12
"Rpl22l1"	3.0466906662519e-12	-0.346922400443249	0.972	0.987	9.46088852591203e-08	2.97500382704597e-11
"H2-Q7"	1.77041317398121e-11	0.412732079054698	0.955	0.828	5.49766402916385e-07	1.63271437156045e-10
"Rpl38"	4.3904871595167e-11	-0.210634209871865	1	1	1.36337797764472e-06	3.83589930778828e-10
"Snrpf"	2.11566934175291e-10	-0.390368226162367	0.764	0.831	6.56978800694532e-06	1.75600555365492e-09
"H2-K1"	7.35776321096947e-10	0.23853601202335	0.998	0.997	2.28480620990235e-05	5.81613663343301e-09
"Wdfy1"	1.42047609077959e-09	0.304894597707309	0.279	0.091	4.41100440469785e-05	1.07181377758823e-08
"Gdpd3"	2.36094562157044e-09	0.611283806547468	0.183	0.039	7.3314444386627e-05	1.70398683991606e-08
"Rbm3"	5.18894171112154e-09	-0.34178817932637	0.936	0.955	0.000161132206955457	3.58901801685907e-08
"Lmo2"	1.14060606195107e-08	0.264106753370344	0.987	0.971	0.000354192400417665	7.57362425135508e-08
"Tgm2"	1.83438126516501e-08	0.370001767039838	0.534	0.292	0.000569630414271689	1.17118188468227e-07
"Atp5e"	5.01775558095366e-08	-0.313421727517829	0.885	0.925	0.00155816364055354	2.9991439068894e-07
"Trim34a"	5.0587969513797e-08	0.24996315433213	0.164	0.036	0.00157090821731194	2.9991439068894e-07
"Rab6b"	6.03293929550825e-07	0.205520687274411	0.24	0.088	0.0187340863943418	3.45333766570472e-06
"Prtn3"	6.25851597323074e-07	0.37740172653883	0.936	0.851	0.0194345696516734	3.46304550518767e-06
"Tspan32"	7.95188729561362e-07	0.296472827924937	0.751	0.549	0.024692995619069	4.25810739055439e-06
"Plppr3"	1.2235673616292e-06	0.225815385965433	0.226	0.088	0.0379954372806717	6.29360015854886e-06
"Psmb8"	1.25113738091634e-06	0.278213136553316	0.919	0.834	0.0388515690895951	6.29360015854886e-06
"Idi1"	1.44115162664662e-06	0.404352948158942	0.406	0.224	0.0447520814622574	7.03621088303937e-06
"Hmgcr"	1.54467984568646e-06	0.322673106880823	0.436	0.25	0.0479669432481015	7.32619583954148e-06
"Mpl"	2.30370475372088e-06	0.303950665847085	0.723	0.51	0.0715369437172944	1.06226385866018e-05
"H2-Q6"	3.22414201677058e-06	0.295404432028587	0.615	0.403	0.100119282046777	1.44650695887545e-05
"Ndrg1"	4.9253383062773e-06	0.283011130967825	0.266	0.127	0.152946530424829	2.15159515484745e-05
"Rabac1"	6.49392080884377e-06	0.270242730976142	0.883	0.708	0.201655722877025	2.76407911350786e-05
"Gcnt2"	9.22975152883613e-06	0.323288250712766	0.723	0.536	0.286611474224948	3.83034688446699e-05
