,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Stxbp4,5.38365145571508e-06,0.217595902298526,0.54,0.405,0.16717852865432,8.07547718357262e-06
Pou2f2,4.08384789039595e-07,0.21695863519564,0.452,0.31,0.0126815728540465,7.91245528764215e-07
Ifi203,1.3373414969515e-05,0.214271497224132,0.797,0.667,0.41528465504835,1.8190283457518e-05
Mndal,6.8468426221677e-05,0.200435828340555,0.614,0.487,1.0,8.16354312643071e-05
Zfp36,3.15947544975275e-09,0.277924205122912,0.222,0.107,9.81111911411722e-05,9.345883584876871e-09
Clec2d,2.00846049616118e-10,0.361548400412426,0.478,0.315,6.2368723787293e-06,7.06716063800107e-10
Atp5g1,6.9248959850291e-06,-0.238126641775024,0.746,0.75,0.215038795023109,1.00627394782454e-05
Snrpf,8.28396295253701e-06,-0.249326510707496,0.664,0.684,0.257241901565132,1.16728568876658e-05
Shisa5,6.794142243723951e-09,0.301036552996615,0.736,0.568,0.0002109784990943,1.91471281414039e-08
Rab6b,2.88880063468876e-12,0.29422352615579,0.211,0.083,8.97059261089902e-08,1.2793259953621699e-11
Gstp1,2.05175631425837e-10,0.247104319712276,0.186,0.077,6.37131888266653e-06,7.06716063800107e-10
Setd1b,3.2684314460965e-07,0.243494283282372,0.316,0.194,0.0101494601695635,6.75475832193276e-07
Cd74,0.002836625102752,0.221699862235267,0.488,0.402,1.0,0.0029641138714151
Uqcrb,9.74614652772048e-07,-0.264921154058228,0.615,0.655,0.0302647088125304,1.67850301310742e-06
Arhgap45,3.38493824904115e-07,0.248620889883196,0.48,0.333,0.0105112487447475,6.84346211219189e-07
Rsrp1,3.44564459521466e-08,0.20881089503009,0.825,0.675,0.001069976016152,8.21653711166574e-08
Rpl28,9.52224975351369e-25,-0.224010469113496,1.0,0.999,2.9569442159586104e-20,9.83965807863081e-24
Rps27l,0.0002108787356131,-0.216052490608812,0.716,0.714,1.0,0.0002334728858574
2410015M20Rik,0.0035209597990428,-0.228962905945551,0.565,0.565,1.0,0.0035592311012063
Rpl37a,4.865367993970849e-22,-0.215668865263964,1.0,1.0,1.51084272316777e-17,3.77066019532741e-21
Ltb,0.0001059479895934,0.239108901457512,0.718,0.593,1.0,0.0001231645379023
Lars2,2.48679213677762e-09,0.294236273233257,0.605,0.438,7.72223562233555e-05,7.70905562401063e-09
Slfn5,3.87874440625908e-08,0.307794454909578,0.196,0.096,0.0012044665004756,9.01808074455236e-08
Elane,2.71780429968411e-06,-0.569234005719511,0.134,0.207,0.0843959769180905,4.357858618459e-06
Uqcr11,0.0031014361397763,-0.204664956295074,0.57,0.579,1.0,0.0032048173444355
Rps17,9.91957662717672e-18,-0.246060428079296,0.994,0.995,3.08032613003719e-13,5.1251145907079703e-17
