"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Uhrf1"	0.0011997770096359	0.283870244259816	0.711	0.57	1	0.00381421646346936
"Rabgap1l"	0.0013358949725206	0.264214480431708	0.748	0.545	1	0.00418449454627778
"Racgap1"	0.0013558513893045	-0.279083930151518	0.6	0.689	1	0.00418545428872258
"Krtcap2"	0.00138253480318206	-0.246117227695565	0.933	0.934	1	0.00420685590111111
"Smarce1"	0.0015341474987538	0.224710161418033	0.793	0.631	1	0.0045736237177526
"Rpl27"	0.0015460136510713	-0.234819335238302	0.97	0.918	1	0.0045736237177526
"Knl1"	0.00157290008055543	-0.297884735110112	0.689	0.762	1	0.00458942078299051
"Msh2"	0.00163652314081942	0.249509725991002	0.741	0.52	1	0.0047105328242505
"Ahsa1"	0.00166509462199179	0.253633888194996	0.748	0.516	1	0.00472886872645669
"Wdr5"	0.00188964718062095	0.223480987817305	0.422	0.262	1	0.0052137540504126
"Pds5a"	0.00190838843558045	0.225290607133655	0.904	0.738	1	0.0052137540504126
"Nisch"	0.00190926204662996	0.245393600337844	0.748	0.57	1	0.0052137540504126
"Hspa9"	0.00211560108538995	0.253085965260949	0.881	0.709	1	0.00570399310320209
"Tmx4"	0.00214234482749374	-0.229934921824235	0.489	0.59	1	0.00570399310320209
"Uqcrh"	0.00221515808994486	-0.20177558437928	0.993	0.996	1	0.00582504534763279
"Rrp1b"	0.00229409731989098	0.217772433623406	0.526	0.332	1	0.00595905767239975
"Jund"	0.00233448498280014	0.261385525601615	0.541	0.361	1	0.00599090724501723
"Eif3g"	0.0024103124479464	0.222909561039765	0.852	0.635	1	0.0060777817735879
"Mrto4"	0.00242540587208907	0.231765435534112	0.637	0.43	1	0.0060777817735879
"Hus1"	0.00255176829840036	-0.202643079497326	0.148	0.275	1	0.00630980328444448
"Ssrp1"	0.00257724359505479	0.207396834291679	0.97	0.918	1	0.00630980328444448
"Hmgb2"	0.00269951702893851	-0.220336235898421	1	1	1	0.00650439491758931
"Glrx5"	0.00271779881533075	0.214618625519399	0.741	0.525	1	0.00650439491758931
"Cct5"	0.00279337925057571	0.209422244438756	0.889	0.754	1	0.00661099755969586
