"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"F630028O10Rik"	0.000637609925053413	-0.298719872595838	0.057	0.135	1	0.00187169365096324
"Crim1"	0.000660828076468948	0.215581617331955	0.235	0.13	1	0.00190905888757696
"Dock10"	0.00067206778258517	0.238528566277879	0.456	0.317	1	0.00191119275672658
"4932438A13Rik"	0.000881736072568644	0.200650566642216	0.399	0.262	1	0.0024688610031922
"Nceh1"	0.000973004470649912	0.260609939702193	0.498	0.362	1	0.0026543032900454
"Tars"	0.000977775594380409	0.209451167829234	0.267	0.164	1	0.0026543032900454
"Dock8"	0.000991717712764216	0.23328789510743	0.331	0.214	1	0.0026543032900454
"Slc39a10"	0.0010187048427924	0.211512357489005	0.21	0.116	1	0.00268701857084371
"Ly6a"	0.00115920817006439	0.291579143516676	0.811	0.73	1	0.00297161002385017
"Gm2a"	0.00115925445985364	0.20659612225707	0.477	0.32	1	0.00297161002385017
"Gcnt2"	0.00119361045437537	0.266632059708485	0.797	0.661	1	0.0030171819818933
"Maea"	0.00127111233600554	0.216337576685721	0.313	0.198	1	0.00313797195746454
"Calr"	0.00129167107761562	0.29374787080901	0.858	0.767	1	0.00313797195746454
"Samd9l"	0.00129312031214198	0.231921991025753	0.37	0.246	1	0.00313797195746454
"Sympk"	0.00136414691695497	0.234491411109956	0.288	0.177	1	0.00326677288007637
"Stat1"	0.00138298964992855	0.221184253662566	0.441	0.299	1	0.00326888462710386
"Ankrd12"	0.00142420247849167	0.212842807814833	0.434	0.302	1	0.00332313911648055
"Lfng"	0.00148896955044529	0.207878999774528	0.117	0.05	1	0.00341966098062127
"Uqcr10"	0.00150314768378957	-0.289290653639636	0.466	0.542	1	0.00341966098062127
"Scd2"	0.00161516955974308	0.220810866195245	0.683	0.524	1	0.00362914641818815
"Mien1"	0.00168008730032458	0.200459438898831	0.516	0.365	1	0.00372897425193993
"Iqgap2"	0.00175950865980066	0.287626894693784	0.658	0.542	1	0.00385819971185204
"Tmem176b"	0.00191509072589619	0.219310591321313	0.9	0.823	1	0.00414936323944175
"Mylip"	0.00208334295988159	0.213935029875179	0.253	0.151	1	0.00446080492586411
"Rbck1"	0.00233150996268171	0.206858545776535	0.409	0.286	1	0.00493412573497757
"Mprip"	0.00243324390079625	0.213922997531741	0.598	0.476	1	0.00509023436718297
"Mycbp2"	0.00263793362838016	0.216645032858959	0.74	0.622	1	0.00545572636778625
"Laptm5"	0.00278398814710131	0.212684096872166	0.89	0.796	1	0.0056677503407969
"D430042O09Rik"	0.00280273368500946	0.201107880846139	0.164	0.087	1	0.0056677503407969
"Ighm"	0.00291720381996039	1.94778539527774	0.117	0.053	1	0.00583440763992078
"Pdzk1ip1"	0.00301167746876275	0.265630512576917	0.438	0.304	1	0.00589748906189268
"Zmym4"	0.00301355210305505	0.214485307008206	0.402	0.278	1	0.00589748906189268
"Ifi203"	0.00307851239093367	0.294455349500303	0.762	0.627	1	0.00596052399095668
"Hipk1"	0.00320847460989342	0.204209497804395	0.505	0.389	1	0.00614676188421687
"Ctsg"	0.00331990657388067	-0.63078730672475	0.139	0.225	1	0.00629398954631544
"Idi1"	0.0034022419924166	0.248625828533103	0.249	0.159	1	0.00638358806824557
"Ndufa3"	0.0034968866263317	-0.277291100824565	0.342	0.423	1	0.0064942180203303
"Smg1"	0.0035385364657691	0.203746596701189	0.409	0.288	1	0.00650518825020177
"Hnrnph3"	0.00397271718141071	0.200405178105226	0.409	0.283	1	0.00716207547255149
"Snrpg"	0.00399263884669338	-0.301025223102487	0.488	0.537	1	0.00716207547255149
"Wdr26"	0.00401391042967172	0.240117459289919	0.448	0.331	1	0.00716207547255149
"Phf12"	0.0040895669552957	0.204368276264537	0.274	0.175	1	0.00718044435735538
"Pik3ip1"	0.00410311106134593	0.256095395505941	0.434	0.325	1	0.00718044435735538
"Ndufa4"	0.00483796228622593	-0.265533882783238	0.811	0.873	1	0.00838580129612494
"Prkag2"	0.00488593267113058	0.222086449906399	0.249	0.156	1	0.00838905420892232
"Ppp2r2a"	0.00509397408672124	0.221627111815121	0.399	0.286	1	0.00866451667087164
"Macf1"	0.00522142757196773	0.226859057408551	0.598	0.487	1	0.00879907238979747
"Rps27l"	0.00552993730399184	-0.251091079025433	0.68	0.735	1	0.00923347329657353
"Sem1"	0.00562701538692444	-0.231800259432545	0.719	0.741	1	0.00931015273109317
"Fam107b"	0.00582113282764218	0.222186291079763	0.63	0.489	1	0.00954456013180969
"Inpp4b"	0.00588248497727841	0.230306174341121	0.107	0.05	1	0.00955903808807742
"Ccdc47"	0.0061145448175565	0.238679379799025	0.448	0.331	1	0.00984820492739188
