"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Top2b"	0.000512132380687618	0.224079594264931	0.792	0.667	1	0.0016688222754551
"Zfp217"	0.00052120083099396	0.238910487870695	0.266	0.148	1	0.0016688222754551
"Acaa2"	0.000524487000857318	0.213840337721119	0.38	0.241	1	0.0016688222754551
"Dhx40"	0.000535233608848721	0.213358037637017	0.171	0.078	1	0.00167759787848107
"S100a10"	0.000551030675470836	0.204401726310095	0.945	0.911	1	0.00170171238013052
"Krtcap2"	0.000577645416297425	-0.310339779704467	0.625	0.681	1	0.00175805126699216
"Pik3ip1"	0.00067247663126483	0.221091195280573	0.355	0.222	1	0.00201742989379449
"Atp8a1"	0.000762341025481456	0.211619306860229	0.372	0.23	1	0.00225481148381839
"Arid4a"	0.000786447661337698	0.214324857216216	0.469	0.322	1	0.00226889023453641
"Rpl36al"	0.000792203891898025	-0.276713352330308	0.566	0.633	1	0.00226889023453641
"Rsrp1"	0.000808468772887501	0.235548710805331	0.841	0.696	1	0.00226889023453641
"Ptpre"	0.000812026273008569	0.300652552425921	0.727	0.596	1	0.00226889023453641
"Samd14"	0.000830994358621278	0.236284356774523	0.4	0.259	1	0.00226889023453641
"Hist1h1b"	0.000831926419330019	-0.535811932532385	0.208	0.315	1	0.00226889023453641
"Pabpn1"	0.000873527565805085	0.20473315950815	0.31	0.189	1	0.00235180498485984
"Tspo"	0.000887164276776941	0.250297842076702	0.851	0.733	1	0.00235828478636908
"Slc25a4"	0.00105581980529322	-0.300382745373416	0.551	0.607	1	0.00276070649365218
"Ddx6"	0.00107193279812009	0.245301858301375	0.695	0.559	1	0.00276070649365218
"2010107E04Rik"	0.00107799015466418	-0.29219015679577	0.638	0.681	1	0.00276070649365218
"Smc4"	0.00112323473309428	0.246508918891167	0.558	0.419	1	0.00283042963721364
"Mosmo"	0.00113217185488546	0.206213712899547	0.199	0.104	1	0.00283042963721364
"Abcb4"	0.00119212520685737	0.246109775194912	0.548	0.4	1	0.00293240008385526
"Ehmt2"	0.00120088765338835	0.212238988489153	0.412	0.278	1	0.00293240008385526
"Vim"	0.00125328400705369	0.291443226295292	0.849	0.774	1	0.00302516829288822
"Atp5l"	0.00126970467374669	-0.231318822268797	0.856	0.844	1	0.00302997706235006
"Smap2"	0.00132674476176438	0.247880307723216	0.69	0.559	1	0.00313052134798338
"Ldhb"	0.00136975319076325	-0.284603538533132	0.065	0.133	1	0.00317968185606369
"Tbcel"	0.00138742350608414	0.231327025491968	0.268	0.156	1	0.00317968185606369
"Letm2"	0.00139300347979933	0.209039919010552	0.218	0.119	1	0.00317968185606369
"Ost4"	0.0014438545949256	-0.266954424823399	0.519	0.581	1	0.00326031682725135
"Cox8a"	0.00154895982242249	-0.211004094716467	0.921	0.93	1	0.00346044215647578
"Ndrg1"	0.00157362909471974	0.233009526569797	0.37	0.241	1	0.00347663623165501
"Slc14a1"	0.00158931942018515	0.259870951056201	0.422	0.289	1	0.00347663623165501
"Tgoln1"	0.00166186907636486	0.213598685863491	0.308	0.196	1	0.00359786088697547
"Jun"	0.00186461529050833	0.330007365621934	0.189	0.1	1	0.00393553417737514
"Rfc2"	0.0018712724617997	-0.35495321738275	0.561	0.611	1	0.00393553417737514
"Patz1"	0.00187406389398816	0.212415071486255	0.409	0.289	1	0.00393553417737514
"Erh"	0.00201295911868013	0.249309180637405	0.628	0.489	1	0.00418461073024839
"Gclm"	0.00203252521183493	0.21587634884377	0.804	0.715	1	0.00418461073024839
"Dnase2a"	0.0021317026368317	0.201916310578863	0.278	0.17	1	0.00434618984208405
"Runx3"	0.00216147238396	0.221379792460352	0.571	0.415	1	0.00436451154453461
"Cox6b1"	0.00229372331966244	-0.243142655130403	0.767	0.756	1	0.00454835085135361
"Ndufb2"	0.00229583423925468	-0.247376686153366	0.323	0.4	1	0.00454835085135361
"Macf1"	0.00236074889783438	0.212125151420586	0.563	0.448	1	0.00462322637439657
"Dbi"	0.00237765927826109	-0.382896873389203	0.596	0.63	1	0.00462322637439657
"Aqp1"	0.00249095309858225	0.24939960201364	0.613	0.496	1	0.004799083951397
"Hells"	0.00269104260757337	-0.305244633400352	0.166	0.248	1	0.00513744497809462
"Ttc3"	0.00274339195202887	0.246346797587132	0.548	0.422	1	0.00519020099032488
"Elane"	0.00284276338804621	-0.349264634084325	0.179	0.259	1	0.00533018135258665
"Galnt6"	0.00290092213643334	0.204716155562704	0.533	0.378	1	0.00539109423584957
"Adgrg1"	0.00312242739662508	-0.291027750941058	0.603	0.656	1	0.00571501045262029
"Gadd45a"	0.00312964858119682	0.255298507800078	0.268	0.17	1	0.00571501045262029
"Npc2"	0.0035946436329722	0.228124900417442	0.687	0.544	1	0.00650754450796691
"Krit1"	0.00365303101196175	0.216281390035358	0.573	0.433	1	0.00655672232916211
"Ppp4r2"	0.00402328991172372	0.225444976665718	0.419	0.293	1	0.00716009221577949
"Spn"	0.00460128180493409	0.207009824028519	0.804	0.681	1	0.00811990906753076
"Capza2"	0.00470426585241113	-0.211673230722438	0.64	0.704	1	0.00823246524171948
"Atp5j2"	0.00477324948705042	-0.227862206604644	0.687	0.73	1	0.00828415200231891
"H2-Q4"	0.00497636057857832	0.215785564780564	0.37	0.259	1	0.00856586656968399
"Ptpn18"	0.00502475173063586	-0.28853591436879	0.742	0.726	1	0.00857884441815878
"Ash1l"	0.00524239184465702	0.249050177517847	0.648	0.552	1	0.00887824425304818
"Uqcrb"	0.00544908690584661	-0.224591375099185	0.645	0.689	1	0.0091544660018223
"Kdm5a"	0.0056658805575378	0.207885345838791	0.531	0.389	1	0.009443134262563
"Cox7c"	0.00579540804481893	-0.214467361265398	0.834	0.819	1	0.00954664071544831
"Myl10"	0.00581890481703516	-0.322134406643357	0.084	0.148	1	0.00954664071544831
