"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Echdc2"	4.48136940161914e-88	-1.14177121248269	0.003	0.415	1.39159964028479e-83	4.1676735435058e-86
"Gm42418"	3.28102415399551e-73	0.558219429089645	1	1	1.01885643054022e-68	1.52567623160791e-71
"Trim12a"	7.03099675013124e-57	0.747470376440794	0.295	0.009	2.18333542081825e-52	2.17960899254068e-55
"Rps29"	2.6529407870976e-36	-0.239920695925967	1	1	8.23817702617419e-32	6.16808733000193e-35
"Rpl35a"	5.81971857345457e-31	-0.265957667320246	1	1	1.80719720861485e-26	1.08246765466255e-29
"Hbb-bt"	1.493344681486e-29	1.03269167229708	0.154	0.002	4.63728323941847e-25	2.3146842563033e-28
"Rps26"	2.31085046013286e-28	-0.309535695009425	1	0.995	7.17588393385057e-24	3.07012989703366e-27
"Rpl41"	9.89311176855036e-27	-0.29688750845389	0.997	0.999	3.07210799748794e-22	1.15007424309398e-25
"Rpl28"	9.52224975351369e-25	-0.224010469113496	1	0.999	2.95694421595861e-20	9.83965807863081e-24
"Rpl39"	8.50053895281192e-24	-0.224110454726133	1	0.999	2.63967236101669e-19	7.90550122611508e-23
"Rps28"	1.38387810004458e-22	-0.203403973786201	1	1	4.29735666406844e-18	1.17000603003769e-21
"Rpl37a"	4.86536799397085e-22	-0.215668865263964	1	1	1.51084272316777e-17	3.77066019532741e-21
"Trim5"	3.96186615492755e-20	0.296977769392453	0.107	0.002	1.23027829708965e-15	2.83425809544817e-19
"Trim34a"	1.12800485178956e-19	0.31739201792739	0.144	0.019	3.50279346626211e-15	7.49317508688777e-19
"H2-Q7"	1.26786375100602e-18	0.400977022832362	0.913	0.79	3.93709730599898e-14	7.8607552562373e-18
"Rpl37"	1.40908564738177e-18	-0.205761627007313	0.999	1	4.3756336608146e-14	8.19031032540652e-18
"Rps25"	6.9107381726297e-18	-0.223156095306338	0.999	0.994	2.1459915247467e-13	3.7805802944386e-17
"Rps17"	9.91957662717672e-18	-0.246060428079296	0.994	0.995	3.08032613003719e-13	5.12511459070797e-17
"H2-K1"	6.78833850184659e-16	0.24377233634142	0.997	0.995	2.10798275497842e-11	3.32271305616701e-15
"Gm47283"	1.11466632256728e-15	-0.429437396548196	0.068	0.202	3.46137333146819e-11	5.18319839993787e-15
"Rab6b"	2.88880063468876e-12	0.29422352615579	0.211	0.083	8.97059261089902e-08	1.27932599536217e-11
"Tspan32"	3.95305738660914e-11	0.305374542916787	0.599	0.431	1.22754291026374e-06	1.67106516797568e-10
"Lmo2"	6.7596950196515e-11	0.23361197930243	0.981	0.953	2.09908809445238e-06	2.73326798620691e-10
"Atpif1"	9.63957090378165e-11	-0.325087411012696	0.797	0.832	2.99337595275132e-06	3.73533372521539e-10
"E230032D23Rik"	1.40318999585329e-10	0.203527487527497	0.167	0.061	4.35732589412323e-06	5.21986678457425e-10
"Clec2d"	2.00846049616118e-10	0.361548400412426	0.478	0.315	6.2368723787293e-06	7.06716063800107e-10
"Gstp1"	2.05175631425837e-10	0.247104319712276	0.186	0.077	6.37131888266653e-06	7.06716063800107e-10
"H2-Eb1"	3.71475349387275e-10	0.362414560193202	0.49	0.318	1.15354240245231e-05	1.23382883903631e-09
"Rpl22l1"	6.82621268010354e-10	-0.260429353651001	0.941	0.938	2.11974382355255e-05	2.18909579051596e-09
"Lars2"	2.48679213677762e-09	0.294236273233257	0.605	0.438	7.72223562233555e-05	7.70905562401063e-09
"Zfp36"	3.15947544975275e-09	0.277924205122912	0.222	0.107	9.81111911411722e-05	9.34588358487687e-09
"Tap1"	3.21578790017269e-09	0.304309332390977	0.507	0.359	9.98598616640624e-05	9.34588358487687e-09
"Shisa5"	6.79414224372395e-09	0.301036552996615	0.736	0.568	0.00021097849909436	1.91471281414039e-08
"H2-Q4"	1.09075748310871e-08	0.288649881742746	0.506	0.339	0.000338712921229749	2.98354252732677e-08
"H2-DMa"	1.43124038116477e-08	0.296820309020267	0.624	0.457	0.000444443075563095	3.80301015566638e-08
"Lamp2"	1.48519448310326e-08	0.258426180390471	0.502	0.335	0.000461197442838056	3.83675241468342e-08
"Snrpe"	1.90318969064349e-08	-0.28320331327415	0.766	0.783	0.000590997494635523	4.74601820446478e-08
