"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Sh3bgrl3"	1.64235040533124e-06	-0.26663995018931	0.816	0.822	0.0509999071367508	3.45757980069734e-06
"Akap13"	1.67655213145695e-06	0.258844764753786	0.875	0.771	0.0520619733381327	3.46872854784197e-06
"Tap1"	2.58697900435297e-06	0.292470172568039	0.555	0.415	0.0803334590221728	5.26165221224333e-06
"Meg3"	3.31472494997637e-06	0.344223956669341	0.111	0.046	0.102932153871616	6.62944989995274e-06
"Clec2d"	3.48051696914986e-06	0.21205792281134	0.557	0.399	0.108080493443011	6.84691862783578e-06
"Gse1"	4.35132124631225e-06	0.25355707132377	0.473	0.339	0.135121578661734	8.42191208963662e-06
"Stat3"	4.83341872797059e-06	0.24745886773994	0.57	0.413	0.150092151759671	9.20651186280112e-06
"Snrpe"	5.3132735319295e-06	-0.248306094816468	0.742	0.765	0.164993082987007	9.96238787236782e-06
"Cyp51"	5.82030899168713e-06	0.209706857052975	0.258	0.157	0.18073805511886	1.0745185830807e-05
"Atp5e"	6.58272503465279e-06	-0.239991735958506	0.82	0.848	0.204413360501073	1.1968590972096e-05
"Mrpl54"	7.0355762088806e-06	-0.250193536960728	0.357	0.453	0.218475748014369	1.26010320159056e-05
"Mpl"	7.39743903187411e-06	0.284227402724048	0.658	0.507	0.229712674256787	1.30543041738955e-05
"Cox7a2"	7.60872300119255e-06	-0.270983653378898	0.607	0.64	0.236273675356032	1.32325617412044e-05
"Snrpf"	7.98580817360116e-06	-0.282098361400214	0.682	0.693	0.247983301214837	1.36899568690306e-05
"Numa1"	9.82525284756806e-06	0.248448864147693	0.678	0.556	0.305103576675531	1.66060611508193e-05
"Ctsg"	1.26770009072421e-05	-0.223677722690001	0.088	0.171	0.39365890917259	2.11283348454036e-05
"Angpt1"	1.29871503128513e-05	0.231652502985523	0.889	0.852	0.40328997866497	2.13487402403034e-05
"Atp1a1"	1.54111554703053e-05	0.207135236529317	0.5	0.361	0.478562610819389	2.49910629248193e-05
"Aplp2"	1.86309232404932e-05	0.21479216901265	0.605	0.469	0.578546059387037	2.98094771847892e-05
